0,1,2,3,4,5,6,7,8
1,miRNA_primary_transcript,61846075,61846176,+,MI0039734,MI0039734,Name=hsa-mir-12132,
1,miRNA_primary_transcript,62078786,62078859,+,MI0014128,MI0014128,Name=hsa-mir-3116-1,
1,miRNA_primary_transcript,62078789,62078856,-,MI0014129,MI0014129,Name=hsa-mir-3116-2,
1,miRNA_primary_transcript,63326925,63326984,-,MI0020345,MI0020345,Name=hsa-mir-6068,
1,miRNA_primary_transcript,64579847,64579923,+,MI0017441,MI0017441,Name=hsa-mir-4794,
1,miRNA_primary_transcript,65057755,65057842,-,MI0016072,MI0016072,Name=hsa-mir-3671,
1,miRNA_primary_transcript,65058434,65058508,-,MI0000103,MI0000103,Name=hsa-mir-101-1,
1,miRNA_primary_transcript,66628440,66628517,+,MI0014130,MI0014130,Name=hsa-mir-3117,
1,miRNA_primary_transcript,68183518,68183610,-,MI0006397,MI0006397,Name=hsa-mir-1262,
1,miRNA_primary_transcript,71067631,71067716,-,MI0000483,MI0000483,Name=hsa-mir-186,
1,miRNA_primary_transcript,77060143,77060202,+,MI0023616,MI0023616,Name=hsa-mir-7156,
1,miRNA_primary_transcript,85133794,85133873,+,MI0016760,MI0016760,Name=hsa-mir-4423,
1,miRNA_primary_transcript,86357632,86357687,-,MI0025526,MI0025526,Name=hsa-mir-7856,
1,miRNA_primary_transcript,93846832,93846911,+,MI0005567,MI0005567,Name=hsa-mir-760,
1,miRNA_primary_transcript,94543702,94543779,+,MI0039735,MI0039735,Name=hsa-mir-12133,
1,miRNA_primary_transcript,98045242,98045351,-,MI0012063,MI0012063,Name=hsa-mir-2682,
1,miRNA_primary_transcript,98046070,98046171,-,MI0000454,MI0000454,Name=hsa-mir-137,
1,miRNA_primary_transcript,100281241,100281308,+,MI0003558,MI0003558,Name=hsa-mir-553,
1,miRNA_primary_transcript,107897223,107897304,+,MI0025522,MI0025522,Name=hsa-mir-7852,
1,miRNA_primary_transcript,109598893,109598967,+,MI0000239,MI0000239,Name=hsa-mir-197,
1,miRNA_primary_transcript,112461770,112461833,-,MI0015855,MI0015855,Name=hsa-mir-4256,
1,miRNA_primary_transcript,112882050,112882129,+,MI0036558,MI0036558,Name=hsa-mir-11399,
1,miRNA_primary_transcript,116560024,116560111,-,MI0016762,MI0016762,Name=hsa-mir-548ac,
1,miRNA_primary_transcript,116671746,116671817,+,MI0003776,MI0003776,Name=hsa-mir-320b-1,
1,miRNA_primary_transcript,117094643,117094728,+,MI0005767,MI0005767,Name=hsa-mir-942,
1,miRNA_primary_transcript,145850587,145850645,-,MI0022581,MI0022581,Name=hsa-mir-6736,
1,miRNA_primary_transcript,148334479,148334554,-,MI0017976,MI0017976,Name=hsa-mir-5087,
1,miRNA_primary_transcript,148388282,148388363,+,MI0020354,MI0020354,Name=hsa-mir-6077,
1,miRNA_primary_transcript,150492345,150492410,+,MI0022725,MI0022725,Name=hsa-mir-6878,
1,miRNA_primary_transcript,150551929,150552014,+,MI0015856,MI0015856,Name=hsa-mir-4257,
1,miRNA_primary_transcript,151545796,151545891,+,MI0003559,MI0003559,Name=hsa-mir-554,
1,miRNA_primary_transcript,153689705,153689793,-,MI0025919,MI0025919,Name=hsa-mir-8083,
1,miRNA_primary_transcript,153962351,153962420,-,MI0022582,MI0022582,Name=hsa-mir-6737,
1,miRNA_primary_transcript,154104521,154104592,-,MI0019305,MI0019305,Name=hsa-mir-5698,
1,miRNA_primary_transcript,154193665,154193743,-,MI0005545,MI0005545,Name=hsa-mir-190b,
1,miRNA_primary_transcript,154975693,154975783,+,MI0015857,MI0015857,Name=hsa-mir-4258,
1,miRNA_primary_transcript,155195177,155195272,+,MI0003560,MI0003560,Name=hsa-mir-92b,
1,miRNA_primary_transcript,155346350,155346445,-,MI0003561,MI0003561,Name=hsa-mir-555,
1,miRNA_primary_transcript,155951273,155951336,-,MI0022583,MI0022583,Name=hsa-mir-6738,
1,miRNA_primary_transcript,156420341,156420429,-,MI0000466,MI0000466,Name=hsa-mir-9-1,
1,miRNA_primary_transcript,156936131,156936244,-,MI0005116,MI0005116,Name=hsa-mir-765,
1,miRNA_primary_transcript,159899979,159900079,-,MI0015858,MI0015858,Name=hsa-mir-4259,
1,miRNA_primary_transcript,161227186,161227261,+,MI0018166,MI0018166,Name=hsa-mir-5187,
1,miRNA_primary_transcript,162157107,162157182,+,MI0017282,MI0017282,Name=hsa-mir-4654,
1,miRNA_primary_transcript,162342546,162342640,+,MI0003562,MI0003562,Name=hsa-mir-556,
1,miRNA_primary_transcript,165907921,165907976,+,MI0016058,MI0016058,Name=hsa-mir-3658,
1,miRNA_primary_transcript,166154743,166154798,-,MI0005713,MI0005713,Name=hsa-mir-921,
1,miRNA_primary_transcript,167998660,167998726,+,MI0006436,MI0006436,Name=hsa-mir-1255b-2,
1,miRNA_primary_transcript,168375524,168375621,+,MI0003563,MI0003563,Name=hsa-mir-557,
1,miRNA_primary_transcript,170151378,170151462,-,MI0014134,MI0014134,Name=hsa-mir-3119-1,
1,miRNA_primary_transcript,170151378,170151462,+,MI0014135,MI0014135,Name=hsa-mir-3119-2,
1,miRNA_primary_transcript,171101728,171101806,-,MI0006357,MI0006357,Name=hsa-mir-1295a,
1,miRNA_primary_transcript,171101739,171101798,+,MI0019146,MI0019146,Name=hsa-mir-1295b,
1,miRNA_primary_transcript,172138798,172138907,-,MI0000290,MI0000290,Name=hsa-mir-214,
1,miRNA_primary_transcript,172138808,172138888,+,MI0014136,MI0014136,Name=hsa-mir-3120,
1,miRNA_primary_transcript,172144535,172144644,-,MI0000281,MI0000281,Name=hsa-mir-199a-2,
1,miRNA_primary_transcript,175968370,175968479,-,MI0032314,MI0032314,Name=hsa-mir-1843,
1,miRNA_primary_transcript,177029363,177029445,-,MI0003123,MI0003123,Name=hsa-mir-488,
1,miRNA_primary_transcript,178677749,178677834,+,MI0016763,MI0016763,Name=hsa-mir-4424,
1,miRNA_primary_transcript,179803924,179804025,+,MI0039718,MI0039718,Name=hsa-mir-12116,
1,miRNA_primary_transcript,180438314,180438390,-,MI0014137,MI0014137,Name=hsa-mir-3121,
1,miRNA_primary_transcript,192716328,192716390,+,MI0016765,MI0016765,Name=hsa-mir-4426,
1,miRNA_primary_transcript,193136503,193136583,+,MI0006425,MI0006425,Name=hsa-mir-1278,
1,miRNA_primary_transcript,196582413,196582481,-,MI0017372,MI0017372,Name=hsa-mir-4735,
1,miRNA_primary_transcript,198858873,198858982,-,MI0000270,MI0000270,Name=hsa-mir-181b-1,
1,miRNA_primary_transcript,198859044,198859153,-,MI0000289,MI0000289,Name=hsa-mir-181a-1,
1,miRNA_primary_transcript,201719508,201719627,+,MI0018170,MI0018170,Name=hsa-mir-5191,
1,miRNA_primary_transcript,201808611,201808702,+,MI0006321,MI0006321,Name=hsa-mir-1231,
1,miRNA_primary_transcript,201863373,201863447,+,MI0022584,MI0022584,Name=hsa-mir-6739,
1,miRNA_primary_transcript,202003124,202003236,+,MI0022585,MI0022585,Name=hsa-mir-6740,
1,miRNA_primary_transcript,205448302,205448398,-,MI0000810,MI0000810,Name=hsa-mir-135b,
1,miRNA_primary_transcript,206474803,206474864,+,MI0022706,MI0022706,Name=hsa-mir-6769b,
1,miRNA_primary_transcript,207801852,207801939,-,MI0000735,MI0000735,Name=hsa-mir-29c,
1,miRNA_primary_transcript,207802443,207802523,-,MI0000107,MI0000107,Name=hsa-mir-29b-2,
1,miRNA_primary_transcript,209432133,209432242,+,MI0000285,MI0000285,Name=hsa-mir-205,
1,miRNA_primary_transcript,209623444,209623510,-,MI0015859,MI0015859,Name=hsa-mir-4260,
1,miRNA_primary_transcript,212077613,212077685,+,MI0014138,MI0014138,Name=hsa-mir-3122,
1,miRNA_primary_transcript,220117853,220117962,-,MI0000291,MI0000291,Name=hsa-mir-215,
1,miRNA_primary_transcript,220118157,220118241,-,MI0000488,MI0000488,Name=hsa-mir-194-1,
1,miRNA_primary_transcript,220200538,220200619,-,MI0006442,MI0006442,Name=hsa-mir-664a,
1,miRNA_primary_transcript,224257040,224257110,-,MI0003839,MI0003839,Name=hsa-mir-320b-2,
1,miRNA_primary_transcript,224398227,224398311,-,MI0017380,MI0017380,Name=hsa-mir-4742,
1,miRNA_primary_transcript,225922080,225922142,-,MI0022586,MI0022586,Name=hsa-mir-6741,
1,miRNA_primary_transcript,227941590,227941683,-,MI0017876,MI0017876,Name=hsa-mir-5008,
1,miRNA_primary_transcript,228097263,228097341,+,MI0016011,MI0016011,Name=hsa-mir-3620,
1,miRNA_primary_transcript,228397048,228397109,-,MI0022587,MI0022587,Name=hsa-mir-6742,
1,miRNA_primary_transcript,228462074,228462152,+,MI0017296,MI0017296,Name=hsa-mir-4666a,
1,miRNA_primary_transcript,231019828,231019924,-,MI0006275,MI0006275,Name=hsa-mir-1182,
1,miRNA_primary_transcript,233624152,233624219,+,MI0016766,MI0016766,Name=hsa-mir-4427,
1,miRNA_primary_transcript,234306467,234306539,+,MI0017302,MI0017302,Name=hsa-mir-4671,
1,miRNA_primary_transcript,235190034,235190116,-,MI0017392,MI0017392,Name=hsa-mir-4753,
1,miRNA_primary_transcript,235853000,235853060,-,MI0007258,MI0007258,Name=hsa-mir-1537,
1,miRNA_primary_transcript,237471119,237471191,+,MI0016767,MI0016767,Name=hsa-mir-4428,
1,miRNA_primary_transcript,241132272,241132346,+,MI0014139,MI0014139,Name=hsa-mir-3123,
1,miRNA_primary_transcript,243346176,243346255,+,MI0017308,MI0017308,Name=hsa-mir-4677,
1,miRNA_primary_transcript,247201967,247202060,-,MI0016422,MI0016422,Name=hsa-mir-3916,
1,miRNA_primary_transcript,248826377,248826443,+,MI0014140,MI0014140,Name=hsa-mir-3124,
10,miRNA_primary_transcript,641689,641778,-,MI0019306,MI0019306,Name=hsa-mir-5699,
10,miRNA_primary_transcript,2076019,2076089,-,MI0020349,MI0020349,Name=hsa-mir-6072,
10,miRNA_primary_transcript,3991160,3991259,+,MI0020355,MI0020355,Name=hsa-mir-6078,
10,miRNA_primary_transcript,6152196,6152277,+,MI0014183,MI0014183,Name=hsa-mir-3155a,
10,miRNA_primary_transcript,6152207,6152262,-,MI0016839,MI0016839,Name=hsa-mir-3155b,
10,miRNA_primary_transcript,12130760,12130816,-,MI0016840,MI0016840,Name=hsa-mir-548ak,
10,miRNA_primary_transcript,12578753,12578823,+,MI0016841,MI0016841,Name=hsa-mir-4480,
10,miRNA_primary_transcript,12653138,12653197,-,MI0016842,MI0016842,Name=hsa-mir-4481,
10,miRNA_primary_transcript,12725254,12725353,-,MI0010637,MI0010637,Name=hsa-mir-548q,
10,miRNA_primary_transcript,14383200,14383277,-,MI0015826,MI0015826,Name=hsa-mir-4293,
10,miRNA_primary_transcript,14436576,14436661,+,MI0006401,MI0006401,Name=hsa-mir-1265,
10,miRNA_primary_transcript,17845107,17845193,+,MI0003127,MI0003127,Name=hsa-mir-511,
10,miRNA_primary_transcript,20551970,20552046,+,MI0017306,MI0017306,Name=hsa-mir-4675,
10,miRNA_primary_transcript,21496562,21496641,-,MI0008336,MI0008336,Name=hsa-mir-1915,
10,miRNA_primary_transcript,24275685,24275781,+,MI0003616,MI0003616,Name=hsa-mir-603,
10,miRNA_primary_transcript,28289258,28289350,-,MI0025922,MI0025922,Name=hsa-mir-8086,
10,miRNA_primary_transcript,29545004,29545097,-,MI0003617,MI0003617,Name=hsa-mir-604,
10,miRNA_primary_transcript,29602264,29602346,-,MI0005760,MI0005760,Name=hsa-mir-938,
10,miRNA_primary_transcript,30368597,30368665,-,MI0023623,MI0023623,Name=hsa-mir-7162,
10,miRNA_primary_transcript,35079598,35079680,-,MI0016001,MI0016001,Name=hsa-mir-3611,
10,miRNA_primary_transcript,35641172,35641252,-,MI0017315,MI0017315,Name=hsa-mir-4683,
10,miRNA_primary_transcript,42997563,42997681,+,MI0019116,MI0019116,Name=hsa-mir-5100,
10,miRNA_primary_transcript,45164014,45164088,+,MI0014184,MI0014184,Name=hsa-mir-3156-1,
10,miRNA_primary_transcript,48985512,48985587,-,MI0015827,MI0015827,Name=hsa-mir-4294,
10,miRNA_primary_transcript,51299573,51299655,+,MI0003618,MI0003618,Name=hsa-mir-605,
10,miRNA_primary_transcript,54607874,54607957,-,MI0006374,MI0006374,Name=hsa-mir-548f-1,
10,miRNA_primary_transcript,57304479,57304559,-,MI0016432,MI0016432,Name=hsa-mir-3924,
10,miRNA_primary_transcript,63372957,63373048,-,MI0003780,MI0003780,Name=hsa-mir-1296,
10,miRNA_primary_transcript,67403351,67403410,-,MI0023611,MI0023611,Name=hsa-mir-7151,
10,miRNA_primary_transcript,71790747,71790800,+,MI0023612,MI0023612,Name=hsa-mir-7152,
10,miRNA_primary_transcript,72721029,72721100,+,MI0017307,MI0017307,Name=hsa-mir-4676,
10,miRNA_primary_transcript,75552458,75552553,+,MI0003619,MI0003619,Name=hsa-mir-606,
10,miRNA_primary_transcript,86264694,86264788,-,MI0000826,MI0000826,Name=hsa-mir-346,
10,miRNA_primary_transcript,87503881,87503954,+,MI0017309,MI0017309,Name=hsa-mir-4678,
10,miRNA_primary_transcript,89063335,89063411,-,MI0017311,MI0017311,Name=hsa-mir-4679-2,
10,miRNA_primary_transcript,89063336,89063410,+,MI0017310,MI0017310,Name=hsa-mir-4679-1,
10,miRNA_primary_transcript,89592747,89592827,-,MI0000114,MI0000114,Name=hsa-mir-107,
10,miRNA_primary_transcript,96064315,96064399,-,MI0014185,MI0014185,Name=hsa-mir-3157,
10,miRNA_primary_transcript,96828669,96828764,-,MI0003620,MI0003620,Name=hsa-mir-607,
10,miRNA_primary_transcript,97875813,97875897,-,MI0039500,MI0039500,Name=hsa-mir-3085,
10,miRNA_primary_transcript,98395218,98395307,-,MI0006349,MI0006349,Name=hsa-mir-1287,
10,miRNA_primary_transcript,98431292,98431360,-,MI0017317,MI0017317,Name=hsa-mir-4685,
10,miRNA_primary_transcript,98924499,98924568,-,MI0022219,MI0022219,Name=hsa-mir-6507,
10,miRNA_primary_transcript,100974985,100975084,+,MI0003621,MI0003621,Name=hsa-mir-608,
10,miRNA_primary_transcript,101601417,101601497,+,MI0014186,MI0014186,Name=hsa-mir-3158-1,
10,miRNA_primary_transcript,101601417,101601497,-,MI0014187,MI0014187,Name=hsa-mir-3158-2,
10,miRNA_primary_transcript,102436512,102436584,+,MI0003129,MI0003129,Name=hsa-mir-146b,
10,miRNA_primary_transcript,103394253,103394401,-,MI0006444,MI0006444,Name=hsa-mir-1307,
10,miRNA_primary_transcript,104048089,104048186,-,MI0005758,MI0005758,Name=hsa-mir-936,
10,miRNA_primary_transcript,104218789,104218883,-,MI0003622,MI0003622,Name=hsa-mir-609,
10,miRNA_primary_transcript,104268336,104268405,-,MI0016843,MI0016843,Name=hsa-mir-4482,
10,miRNA_primary_transcript,110898090,110898155,+,MI0017312,MI0017312,Name=hsa-mir-4680,
10,miRNA_primary_transcript,110988926,110989013,+,MI0006344,MI0006344,Name=hsa-mir-548e,
10,miRNA_primary_transcript,112299612,112299688,-,MI0022549,MI0022549,Name=hsa-mir-6715b,
10,miRNA_primary_transcript,112299612,112299690,+,MI0022548,MI0022548,Name=hsa-mir-6715a,
10,miRNA_primary_transcript,112634170,112634254,+,MI0015822,MI0015822,Name=hsa-mir-4295,
10,miRNA_primary_transcript,113777993,113778054,-,MI0016844,MI0016844,Name=hsa-mir-4483,
10,miRNA_primary_transcript,114174105,114174179,-,MI0010629,MI0010629,Name=hsa-mir-2110,
10,miRNA_primary_transcript,116827488,116827568,-,MI0039502,MI0039502,Name=hsa-mir-9851,
10,miRNA_primary_transcript,117167678,117167774,-,MI0016064,MI0016064,Name=hsa-mir-3663,
10,miRNA_primary_transcript,119377972,119378043,+,MI0017313,MI0017313,Name=hsa-mir-4681,
10,miRNA_primary_transcript,119958513,119958592,+,MI0017314,MI0017314,Name=hsa-mir-4682,
10,miRNA_primary_transcript,122416965,122417067,+,MI0016598,MI0016598,Name=hsa-mir-3941,
10,miRNA_primary_transcript,125032783,125032870,-,MI0015823,MI0015823,Name=hsa-mir-4296,
10,miRNA_primary_transcript,125819740,125819822,+,MI0016845,MI0016845,Name=hsa-mir-4484,
10,miRNA_primary_transcript,129843299,129843374,-,MI0015824,MI0015824,Name=hsa-mir-4297,
10,miRNA_primary_transcript,130962588,130962668,-,MI0015825,MI0015825,Name=hsa-mir-378c,
10,miRNA_primary_transcript,133247511,133247620,-,MI0003130,MI0003130,Name=hsa-mir-202,
10,miRNA_primary_transcript,133371556,133371663,-,MI0016601,MI0016601,Name=hsa-mir-3944,
11,miRNA_primary_transcript,209336,209406,+,MI0022588,MI0022588,Name=hsa-mir-6743,
11,miRNA_primary_transcript,568089,568198,-,MI0000286,MI0000286,Name=hsa-mir-210,
11,miRNA_primary_transcript,1256605,1256670,+,MI0022589,MI0022589,Name=hsa-mir-6744,
11,miRNA_primary_transcript,1859464,1859536,-,MI0015830,MI0015830,Name=hsa-mir-4298,
11,miRNA_primary_transcript,1880045,1880147,+,MI0025517,MI0025517,Name=hsa-mir-7847,
11,miRNA_primary_transcript,1996759,1996831,-,MI0005416,MI0005416,Name=hsa-mir-675,
11,miRNA_primary_transcript,2134134,2134209,-,MI0002467,MI0002467,Name=hsa-mir-483,
11,miRNA_primary_transcript,2173063,2173138,+,MI0017318,MI0017318,Name=hsa-mir-4686,
11,miRNA_primary_transcript,3856062,3856141,+,MI0017319,MI0017319,Name=hsa-mir-4687,
11,miRNA_primary_transcript,7234766,7234837,+,MI0006417,MI0006417,Name=hsa-mir-302e,
11,miRNA_primary_transcript,9090312,9090379,-,MI0019296,MI0019296,Name=hsa-mir-5691,
11,miRNA_primary_transcript,10508270,10508326,-,MI0016846,MI0016846,Name=hsa-mir-4485,
11,miRNA_primary_transcript,11656651,11656722,-,MI0015829,MI0015829,Name=hsa-mir-4299,
11,miRNA_primary_transcript,11783135,11783222,-,MI0025906,MI0025906,Name=hsa-mir-8070,
11,miRNA_primary_transcript,12163683,12163767,+,MI0021258,MI0021258,Name=hsa-mir-6124,
11,miRNA_primary_transcript,15969533,15969621,-,MI0020350,MI0020350,Name=hsa-mir-6073,
11,miRNA_primary_transcript,18387787,18387860,+,MI0014188,MI0014188,Name=hsa-mir-3159,
11,miRNA_primary_transcript,19575310,19575372,+,MI0016847,MI0016847,Name=hsa-mir-4486,
11,miRNA_primary_transcript,19760004,19760083,-,MI0017327,MI0017327,Name=hsa-mir-4694,
11,miRNA_primary_transcript,23419105,23419190,-,MI0025890,MI0025890,Name=hsa-mir-8054,
11,miRNA_primary_transcript,27514970,27515047,-,MI0025923,MI0025923,Name=hsa-mir-8087,
11,miRNA_primary_transcript,28056815,28056910,+,MI0003623,MI0003623,Name=hsa-mir-610,
11,miRNA_primary_transcript,28477481,28477548,-,MI0025904,MI0025904,Name=hsa-mir-8068,
11,miRNA_primary_transcript,34941837,34941920,+,MI0017320,MI0017320,Name=hsa-mir-1343,
11,miRNA_primary_transcript,36010098,36010204,+,MI0016991,MI0016991,Name=hsa-mir-3973,
11,miRNA_primary_transcript,43559656,43559753,+,MI0003933,MI0003933,Name=hsa-mir-670,
11,miRNA_primary_transcript,43581394,43581483,+,MI0000473,MI0000473,Name=hsa-mir-129-2,
11,miRNA_primary_transcript,45691704,45691776,-,MI0023614,MI0023614,Name=hsa-mir-7154,
11,miRNA_primary_transcript,46376402,46376484,+,MI0017321,MI0017321,Name=hsa-mir-4688,
11,miRNA_primary_transcript,46451805,46451889,-,MI0014189,MI0014189,Name=hsa-mir-3160-1,
11,miRNA_primary_transcript,46451807,46451887,+,MI0014190,MI0014190,Name=hsa-mir-3160-2,
11,miRNA_primary_transcript,46753125,46753192,-,MI0019138,MI0019138,Name=hsa-mir-5582,
11,miRNA_primary_transcript,47179611,47179737,-,MI0022590,MI0022590,Name=hsa-mir-6745,
11,miRNA_primary_transcript,47400970,47401042,+,MI0016848,MI0016848,Name=hsa-mir-4487,
11,miRNA_primary_transcript,48096782,48096858,+,MI0014191,MI0014191,Name=hsa-mir-3161,
11,miRNA_primary_transcript,56743873,56743981,+,MI0021272,MI0021272,Name=hsa-mir-6128,
11,miRNA_primary_transcript,57641198,57641286,+,MI0000448,MI0000448,Name=hsa-mir-130a,
11,miRNA_primary_transcript,59595077,59595158,-,MI0014192,MI0014192,Name=hsa-mir-3162,
11,miRNA_primary_transcript,60209071,60209156,-,MI0022215,MI0022215,Name=hsa-mir-6503,
11,miRNA_primary_transcript,61508596,61508657,+,MI0016849,MI0016849,Name=hsa-mir-4488,
11,miRNA_primary_transcript,61792495,61792561,-,MI0003624,MI0003624,Name=hsa-mir-611,
11,miRNA_primary_transcript,61815161,61815240,-,MI0008329,MI0008329,Name=hsa-mir-1908,
11,miRNA_primary_transcript,61878216,61878278,-,MI0022591,MI0022591,Name=hsa-mir-6746,
11,miRNA_primary_transcript,62567011,62567071,-,MI0022592,MI0022592,Name=hsa-mir-6747,
11,miRNA_primary_transcript,62789815,62789885,+,MI0022593,MI0022593,Name=hsa-mir-6748,
11,miRNA_primary_transcript,62792702,62792771,-,MI0022226,MI0022226,Name=hsa-mir-6514,
11,miRNA_primary_transcript,64341849,64341904,-,MI0023615,MI0023615,Name=hsa-mir-7155,
11,miRNA_primary_transcript,64368602,64368703,+,MI0006327,MI0006327,Name=hsa-mir-1237,
11,miRNA_primary_transcript,64878523,64878609,-,MI0033416,MI0033416,Name=hsa-mir-10392,
11,miRNA_primary_transcript,64891137,64891246,-,MI0000234,MI0000234,Name=hsa-mir-192,
11,miRNA_primary_transcript,64891355,64891439,-,MI0000732,MI0000732,Name=hsa-mir-194-2,
11,miRNA_primary_transcript,64898363,64898437,-,MI0022595,MI0022595,Name=hsa-mir-6750,
11,miRNA_primary_transcript,64902387,64902455,-,MI0022594,MI0022594,Name=hsa-mir-6749,
11,miRNA_primary_transcript,65018505,65018570,+,MI0022726,MI0022726,Name=hsa-mir-6879,
