Derives_from,Accession,Name,Arm,Chromosome,Strand,Start,End
MI0006442,MIMAT0005949,hsa-miR-664a-3p,3p,chr1,-,220200549,220200571
MI0003839,MIMAT0005792,hsa-miR-320b,3p,chr1,-,224257049,224257070
MI0017380,MIMAT0019872,hsa-miR-4742-5p,5p,chr1,-,224398289,224398311
MI0017380,MIMAT0019873,hsa-miR-4742-3p,3p,chr1,-,224398227,224398249
MI0022586,MIMAT0027383,hsa-miR-6741-5p,5p,chr1,-,225922116,225922137
MI0022586,MIMAT0027384,hsa-miR-6741-3p,3p,chr1,-,225922080,225922101
MI0017876,MIMAT0021039,hsa-miR-5008-5p,5p,chr1,-,227941641,227941662
MI0017876,MIMAT0021040,hsa-miR-5008-3p,3p,chr1,-,227941610,227941630
MI0016011,MIMAT0018001,hsa-miR-3620-3p,3p,chr1,+,228097320,228097341
MI0016011,MIMAT0022967,hsa-miR-3620-5p,5p,chr1,+,228097285,228097306
MI0022587,MIMAT0027385,hsa-miR-6742-5p,5p,chr1,-,228397083,228397104
MI0022587,MIMAT0027386,hsa-miR-6742-3p,3p,chr1,-,228397048,228397067
MI0017296,MIMAT0019741,hsa-miR-4666a-5p,5p,chr1,+,228462083,228462103
MI0017296,MIMAT0019742,hsa-miR-4666a-3p,3p,chr1,+,228462125,228462145
MI0006275,MIMAT0005827,hsa-miR-1182,3p,chr1,-,231019841,231019863
MI0016766,MIMAT0018942,hsa-miR-4427,3p,chr1,+,233624195,233624215
MI0017302,MIMAT0019752,hsa-miR-4671-5p,5p,chr1,+,234306476,234306497
MI0017302,MIMAT0019753,hsa-miR-4671-3p,3p,chr1,+,234306512,234306532
MI0017392,MIMAT0019890,hsa-miR-4753-5p,5p,chr1,-,235190086,235190107
MI0017392,MIMAT0019891,hsa-miR-4753-3p,3p,chr1,-,235190040,235190061
MI0007258,MIMAT0007399,hsa-miR-1537-3p,3p,chr1,-,235853000,235853021
MI0007258,MIMAT0026765,hsa-miR-1537-5p,5p,chr1,-,235853037,235853058
MI0016767,MIMAT0018943,hsa-miR-4428,3p,chr1,+,237471164,237471185
MI0014139,MIMAT0014985,hsa-miR-3123,3p,chr1,+,241132320,241132336
MI0017308,MIMAT0019760,hsa-miR-4677-5p,5p,chr1,+,243346188,243346209
MI0017308,MIMAT0019761,hsa-miR-4677-3p,3p,chr1,+,243346225,243346246
MI0016422,MIMAT0018190,hsa-miR-3916,5p,chr1,-,247202016,247202041
MI0014140,MIMAT0014986,hsa-miR-3124-5p,5p,chr1,+,248826383,248826403
MI0014140,MIMAT0019200,hsa-miR-3124-3p,3p,chr1,+,248826418,248826439
MI0019306,MIMAT0022492,hsa-miR-5699-3p,3p,chr10,-,641699,641720
MI0019306,MIMAT0027103,hsa-miR-5699-5p,5p,chr10,-,641748,641769
MI0020349,MIMAT0023697,hsa-miR-6072,3p,chr10,-,2076031,2076052
MI0020355,MIMAT0023703,hsa-miR-6078,5p,chr10,+,3991178,3991196
MI0014183,MIMAT0015029,hsa-miR-3155a,3p,chr10,+,6152247,6152267
MI0016839,MIMAT0019012,hsa-miR-3155b,3p,chr10,-,6152209,6152226
MI0016840,MIMAT0019013,hsa-miR-548ak,5p,chr10,-,12130792,12130812
MI0016841,MIMAT0019014,hsa-miR-4480,3p,chr10,+,12578796,12578816
MI0016842,MIMAT0019015,hsa-miR-4481,5p,chr10,-,12653181,12653197
MI0010637,MIMAT0011163,hsa-miR-548q,5p,chr10,-,12725325,12725346
MI0015826,MIMAT0016848,hsa-miR-4293,3p,chr10,-,14383210,14383226
MI0006401,MIMAT0005918,hsa-miR-1265,5p,chr10,+,14436589,14436610
MI0003127,MIMAT0002808,hsa-miR-511-5p,5p,chr10,+,17845122,17845142
MI0003127,MIMAT0026606,hsa-miR-511-3p,3p,chr10,+,17845160,17845179
MI0017306,MIMAT0019757,hsa-miR-4675,3p,chr10,+,20552015,20552036
MI0008336,MIMAT0007891,hsa-miR-1915-5p,5p,chr10,-,21496609,21496630
MI0008336,MIMAT0007892,hsa-miR-1915-3p,3p,chr10,-,21496576,21496595
MI0003616,MIMAT0003271,hsa-miR-603,3p,chr10,+,24275745,24275766
MI0025922,MIMAT0031013,hsa-miR-8086,5p,chr10,-,28289319,28289340
MI0003617,MIMAT0003272,hsa-miR-604,3p,chr10,-,29545019,29545037
MI0005760,MIMAT0004981,hsa-miR-938,5p,chr10,-,29602311,29602332
MI0023623,MIMAT0028234,hsa-miR-7162-5p,5p,chr10,-,30368648,30368665
MI0023623,MIMAT0028235,hsa-miR-7162-3p,3p,chr10,-,30368597,30368615
MI0016001,MIMAT0017988,hsa-miR-3611,3p,chr10,-,35079609,35079629
MI0017315,MIMAT0019768,hsa-miR-4683,3p,chr10,-,35641181,35641203
MI0019116,MIMAT0022259,hsa-miR-5100,3p,chr10,+,42997630,42997651
MI0014184,MIMAT0015030,hsa-miR-3156-5p,5p,chr10,+,45164021,45164042
MI0014184,MIMAT0019209,hsa-miR-3156-3p,3p,chr10,+,45164062,45164082
MI0015827,MIMAT0016849,hsa-miR-4294,5p,chr10,-,48985561,48985577
MI0003618,MIMAT0003273,hsa-miR-605-5p,5p,chr10,+,51299588,51299610
MI0003618,MIMAT0026621,hsa-miR-605-3p,3p,chr10,+,51299623,51299644
MI0006374,MIMAT0005895,hsa-miR-548f-3p,3p,chr10,-,54607889,54607907
MI0006374,MIMAT0026739,hsa-miR-548f-5p,5p,chr10,-,54607926,54607947
MI0016432,MIMAT0018199,hsa-miR-3924,3p,chr10,-,57304489,57304510
MI0003780,MIMAT0005794,hsa-miR-1296-5p,5p,chr10,-,63373012,63373033
MI0003780,MIMAT0026637,hsa-miR-1296-3p,3p,chr10,-,63372969,63372990
MI0023611,MIMAT0028212,hsa-miR-7151-5p,5p,chr10,-,67403388,67403410
MI0023611,MIMAT0028213,hsa-miR-7151-3p,3p,chr10,-,67403351,67403371
MI0023612,MIMAT0028214,hsa-miR-7152-5p,5p,chr10,+,71790747,71790768
MI0023612,MIMAT0028215,hsa-miR-7152-3p,3p,chr10,+,71790781,71790800
MI0017307,MIMAT0019758,hsa-miR-4676-5p,5p,chr10,+,72721038,72721058
MI0017307,MIMAT0019759,hsa-miR-4676-3p,3p,chr10,+,72721072,72721093
MI0003619,MIMAT0003274,hsa-miR-606,3p,chr10,+,75552518,75552538
MI0000826,MIMAT0000773,hsa-miR-346,5p,chr10,-,86264747,86264769
MI0017309,MIMAT0019762,hsa-miR-4678,5p,chr10,+,87503890,87503911
MI0017311,MIMAT0019763,hsa-miR-4679,5p,chr10,-,89063381,89063402
MI0017310,MIMAT0019763,hsa-miR-4679,5p,chr10,+,89063344,89063365
MI0000114,MIMAT0000104,hsa-miR-107,3p,chr10,-,89592756,89592778
MI0014185,MIMAT0015031,hsa-miR-3157-5p,5p,chr10,-,96064369,96064390
MI0014185,MIMAT0019210,hsa-miR-3157-3p,3p,chr10,-,96064321,96064342
MI0003620,MIMAT0003275,hsa-miR-607,3p,chr10,-,96828684,96828704
MI0039500,MIMAT0048635,hsa-miR-3085-5p,5p,chr10,-,97875860,97875884
MI0039500,MIMAT0048636,hsa-miR-3085-3p,3p,chr10,-,97875824,97875844
MI0006349,MIMAT0005878,hsa-miR-1287-5p,5p,chr10,-,98395271,98395292
MI0006349,MIMAT0026738,hsa-miR-1287-3p,3p,chr10,-,98395232,98395253
MI0017317,MIMAT0019771,hsa-miR-4685-5p,5p,chr10,-,98431332,98431357
MI0017317,MIMAT0019772,hsa-miR-4685-3p,3p,chr10,-,98431292,98431313
MI0022219,MIMAT0025470,hsa-miR-6507-5p,5p,chr10,-,98924543,98924563
MI0022219,MIMAT0025471,hsa-miR-6507-3p,3p,chr10,-,98924502,98924523
MI0003621,MIMAT0003276,hsa-miR-608,5p,chr10,+,100975000,100975024
MI0014186,MIMAT0015032,hsa-miR-3158-3p,3p,chr10,+,101601466,101601487
MI0014186,MIMAT0019211,hsa-miR-3158-5p,5p,chr10,+,101601429,101601449
MI0014187,MIMAT0015032,hsa-miR-3158-3p,3p,chr10,-,101601427,101601448
MI0014187,MIMAT0019211,hsa-miR-3158-5p,5p,chr10,-,101601465,101601485
MI0003129,MIMAT0002809,hsa-miR-146b-5p,5p,chr10,+,102436520,102436542
MI0003129,MIMAT0004766,hsa-miR-146b-3p,3p,chr10,+,102436557,102436578
MI0006444,MIMAT0005951,hsa-miR-1307-3p,3p,chr10,-,103394301,103394322
MI0006444,MIMAT0022727,hsa-miR-1307-5p,5p,chr10,-,103394341,103394361
MI0005758,MIMAT0004979,hsa-miR-936,5p,chr10,-,104048151,104048172
MI0003622,MIMAT0003277,hsa-miR-609,5p,chr10,-,104218849,104218868
MI0016843,MIMAT0020958,hsa-miR-4482-3p,3p,chr10,-,104268341,104268362
MI0016843,MIMAT0019016,hsa-miR-4482-5p,5p,chr10,-,104268377,104268398
MI0017312,MIMAT0019764,hsa-miR-4680-5p,5p,chr10,+,110898094,110898116
MI0017312,MIMAT0019765,hsa-miR-4680-3p,3p,chr10,+,110898131,110898151
MI0006344,MIMAT0005874,hsa-miR-548e-3p,3p,chr10,+,110988978,110988999
MI0006344,MIMAT0026736,hsa-miR-548e-5p,5p,chr10,+,110988940,110988961
MI0022549,MIMAT0025842,hsa-miR-6715b-5p,5p,chr10,-,112299658,112299678
MI0022549,MIMAT0025843,hsa-miR-6715b-3p,3p,chr10,-,112299622,112299643
MI0022548,MIMAT0025841,hsa-miR-6715a-3p,3p,chr10,+,112299660,112299680
MI0015822,MIMAT0016844,hsa-miR-4295,5p,chr10,+,112634180,112634197
MI0016844,MIMAT0019017,hsa-miR-4483,3p,chr10,-,113778000,113778016
MI0010629,MIMAT0010133,hsa-miR-2110,5p,chr10,-,114174151,114174172
MI0039502,MIMAT0048639,hsa-miR-9851-5p,5p,chr10,-,116827534,116827555
